Date,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Species ,realYear,realDate
Reported 06-Sep-2017,2017.0,Unprovoked,SOLOMON ISLANDS,,Spearfishing,M,foot,N,,"<re.Match object; span=(16, 20), match='2017'>","<re.Match object; span=(9, 20), match='06-Sep-2017'>"
03-Sep-2017,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching abalone",M,FATAL,Y,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='03-Sep-2017'>"
03-Sep-2017,2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,M,foot,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='03-Sep-2017'>"
02-Sep-2017,2017.0,Unprovoked,USA,Florida,Swimming,M,body,N,Nurse shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='02-Sep-2017'>"
02-Sep-2017,2017.0,Unprovoked,USA,Texas,Swimming,F,foot,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='02-Sep-2017'>"
02-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,hand,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='02-Sep-2017'>"
29-Aug-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,Surfing,M,NO INJURY,N,"White shark, 3 m","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='29-Aug-2017'>"
27-Aug-2017,2017.0,Unprovoked,USA,Florida,Wading,F,leg,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='27-Aug-2017'>"
26-Aug-2017,2017.0,Invalid,SPAIN,Castellón,Swimming,F,foot,,Shark involvement questionable,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='26-Aug-2017'>"
26-Aug-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,Canoeing,M,NO INJURY,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='26-Aug-2017'>"
23-Aug-2017,2017.0,Unprovoked,USA,Massachusetts,SUP,M,Not injured by shark but board bitten,N,"White shark, 5' to 7'","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='23-Aug-2017'>"
18-Aug-2017,2017.0,Unprovoked,BAHAMAS,,Spearfishing,M,hand,N,5' shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='18-Aug-2017'>"
10-Aug-2017,2017.0,Unprovoked,USA,South Carolina,Swimming,M,foot,N,Possibly a juvenile blacktip shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='10-Aug-2017'>"
05-Aug-2017,2017.0,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,F,leg,N,"Oceanic whitetip shark, 1.8 to 2 m","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='05-Aug-2017'>"
03-Aug-2017,2017.0,Provoked,USA,Massachusetts,Fishing,M,foot,N,4' shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='03-Aug-2017'>"
01-Aug-2017,2017.0,Boating,USA,California,Kayaking / Fishing,M,NO INJURY,N,"White shark, 10'","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='01-Aug-2017'>"
31-Jul-2017,2017.0,Unprovoked,USA,Florida,Skimboarding,M,leg,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='31-Jul-2017'>"
29-Jul-2017,2017.0,Invalid,USA,South Carolina,Swimming,M,foot,,A small shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='29-Jul-2017'>"
29-Jul-2017,2017.0,Unprovoked,USA,South Carolina,,F,thigh,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='29-Jul-2017'>"
27-Jul-2017,2017.0,Unprovoked,BAHAMAS,New Providence District,Snorkeling,F,foot,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='27-Jul-2017'>"
Reported 26-Jul-2017,2017.0,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,M,hand,N,,"<re.Match object; span=(16, 20), match='2017'>","<re.Match object; span=(9, 20), match='26-Jul-2017'>"
24-Jul-2017,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,M,body,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='24-Jul-2017'>"
23-Jul-2017,2017.0,Unprovoked,USA,New Jersey,,F,hand,N,Sandtiger shark  2',"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='23-Jul-2017'>"
23-Jul-2017,2017.0,Unprovoked,SPAIN,Majorca,Swimming,F,arm,N,Blue shark 6',"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='23-Jul-2017'>"
22-Jul-2017,2017.0,Unprovoked,USA,Florida,,F,foot,N,"""A small shark""","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='22-Jul-2017'>"
20-Jul-2017,2017.0,Invalid,USA,South Carolina,Swimming,F,foot,,Shark involvement not confirmed,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='20-Jul-2017'>"
20-Jul-2017,2017.0,Boating,USA,California,Kayaking,M,NO INJURY,N,"White shark, 11' to 13'","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='20-Jul-2017'>"
20-Jul-2017,2017.0,Unprovoked,USA,California,SUP,M,NO INJURY,N,"White shark, 8' to 10'","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='20-Jul-2017'>"
14-Jul-2017,2017.0,Unprovoked,USA,Washington,Surfing,M,NO INJURY,N,"White shark, 9'","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='14-Jul-2017'>"
14-Jul-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,MINOR INJURY,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='14-Jul-2017'>"
11-Jul-2017,2017.0,Boating,USA,California,Kayaking,M,NO INJURY,N,White shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='11-Jul-2017'>"
09-Jul-2017,2017.0,Unprovoked,USA,Florida,Swimming,M,leg,N,"Bull shark, 4' to 5'","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='09-Jul-2017'>"
Reported 07-Jul-2017,2017.0,Provoked,MEXICO,Tabasco,Fishing,M,hand,N,"Tiger shark, 100 kg","<re.Match object; span=(16, 20), match='2017'>","<re.Match object; span=(9, 20), match='07-Jul-2017'>"
07-Jul-2017,2017.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,F,NO INJURY,N,"White shark, 2.5 m","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='07-Jul-2017'>"
02-Jul-2017,2017.0,Invalid,COMOROS,Anjouan,Fishing,,DROWNED,,Shark involvement prior to death not confirmed,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='02-Jul-2017'>"
29-Jun-2017,2017.0,Invalid,USA,South Carolina,Fishing,M,arm,,No shark invovlement ,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='29-Jun-2017'>"
21-Jun-2017,2017.0,Unprovoked,USA,South Carolina,Swimming,F,foot,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='21-Jun-2017'>"
19-Jun-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,leg,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='19-Jun-2017'>"
18-Jun-2017,2017.0,Unprovoked,USA,South Carolina,Swimming,F,leg,N,"Bull shark, 4' to 5'","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='18-Jun-2017'>"
18-Jun-2017,2017.0,Unprovoked,REUNION,,Body boarding,M,NO INJURY,N,"Bull shark, 2m","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='18-Jun-2017'>"
17-Jun-2017,2017.0,Unprovoked,SPAIN,Ibiza Island,Swimming,M,hand,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='17-Jun-2017'>"
Reported 14-Jun-2017,2017.0,Unprovoked,BAHAMAS,,Feeding sharks,F,hand,N,,"<re.Match object; span=(16, 20), match='2017'>","<re.Match object; span=(9, 20), match='14-Jun-2017'>"
